episode,total_reward,env_reward,pos_reward,epsilon,duration,steps,scores_made,scores_against
0,3.342833,-20.000000,22.842833,0.998000,60.780328,1164,1,21
1,-1.285000,-21.000000,19.715000,0.996004,53.285368,1008,1,42
2,-0.222500,-20.000000,19.277500,0.994012,52.234242,981,2,63
3,-0.242500,-20.000000,19.257500,0.992024,51.851354,980,3,84
4,3.370333,-19.000000,21.370333,0.990040,56.972775,1076,5,105
5,-1.537500,-20.000000,17.962500,0.988060,48.692682,919,6,126
6,4.477500,-20.000000,23.977500,0.986084,64.587358,1221,7,147
7,-4.950000,-21.000000,16.050000,0.984112,43.989526,824,7,168
8,-3.715000,-21.000000,17.285000,0.982143,47.057503,886,7,189
9,-3.715000,-21.000000,17.285000,0.980179,46.938374,886,7,210
10,-6.145000,-21.000000,14.855000,0.978219,40.650240,764,7,231
11,-1.357500,-20.000000,18.142500,0.976262,53.044525,922,8,252
12,-1.365000,-21.000000,19.635000,0.974310,58.707266,1004,8,273
13,0.932500,-20.000000,20.432500,0.972361,60.292161,1043,9,294
14,5.587500,-18.000000,22.087500,0.970416,64.571812,1111,12,315
15,-0.089833,-21.000000,20.910167,0.968476,61.818407,1068,12,336
16,11.190667,-17.000000,26.190667,0.966539,76.858119,1325,16,357
17,-1.285000,-21.000000,19.715000,0.964606,58.674243,1008,16,378
18,-3.735000,-21.000000,17.265000,0.962676,51.737626,885,16,399
19,-3.694833,-21.000000,17.305167,0.960751,52.172034,887,16,420
20,4.505000,-19.000000,22.505000,0.958829,66.363457,1139,18,441
21,-1.137500,-20.000000,18.362500,0.956912,53.012486,920,19,462
22,-6.145000,-21.000000,14.855000,0.954998,44.165592,764,19,483
23,-4.930000,-21.000000,16.070000,0.953088,47.754466,825,19,504
24,-3.755000,-21.000000,17.245000,0.951182,53.152634,884,19,525
25,-6.145000,-21.000000,14.855000,0.949279,45.376949,764,19,546
26,-4.950000,-21.000000,16.050000,0.947381,48.139281,824,19,567
27,-0.222500,-20.000000,19.277500,0.945486,57.300874,982,20,588
28,-3.755000,-21.000000,17.245000,0.943595,51.768188,884,20,609
29,3.290000,-19.000000,21.290000,0.941708,62.899534,1074,22,630
30,4.797500,-20.000000,24.297500,0.939825,71.503351,1223,23,651
31,-0.070000,-21.000000,20.930000,0.937945,62.459231,1069,23,672
32,-3.755000,-21.000000,17.245000,0.936069,51.400762,884,23,693
33,-0.150000,-21.000000,20.850000,0.934197,61.829556,1065,23,714
34,-3.715000,-21.000000,17.285000,0.932328,52.421911,886,23,735
35,-3.755000,-21.000000,17.245000,0.930464,52.040754,884,23,756
36,-1.365000,-21.000000,19.635000,0.928603,58.856421,1004,23,777
37,-3.755000,-21.000000,17.245000,0.926746,50.933606,884,23,798
38,-1.517500,-20.000000,17.982500,0.924892,52.852100,919,24,819
39,-3.695000,-21.000000,17.305000,0.923042,49.928328,887,24,840
40,-2.560000,-21.000000,18.440000,0.921196,53.917495,944,24,861
41,-2.519833,-21.000000,18.480167,0.919354,55.096198,946,24,882
42,-6.145000,-21.000000,14.855000,0.917515,44.935240,764,24,903
43,-1.365000,-21.000000,19.635000,0.915680,58.102370,1004,24,924
44,-6.145000,-21.000000,14.855000,0.913849,44.295004,764,24,945
45,-2.560000,-21.000000,18.440000,0.912021,54.757570,944,24,966
46,5.460000,-19.000000,23.460000,0.910197,70.624474,1197,26,987
47,-0.062500,-20.000000,19.437500,0.908377,56.432039,981,27,1008
48,-2.520000,-21.000000,18.480000,0.906560,53.816661,946,27,1029
49,-3.695000,-21.000000,17.305000,0.904747,50.973487,887,27,1050
50,0.872500,-20.000000,20.372500,0.902937,59.242235,1041,28,1071
51,3.130333,-19.000000,21.130333,0.901131,61.394516,1074,30,1092
52,-4.910000,-21.000000,16.090000,0.899329,47.223215,826,30,1113
53,-1.365000,-21.000000,19.635000,0.897531,57.436087,1004,30,1134
54,-4.950000,-21.000000,16.050000,0.895735,47.210392,824,30,1155
55,0.017500,-20.000000,19.517500,0.893944,56.267119,981,31,1176
56,3.522500,-20.000000,23.022500,0.892156,66.386775,1162,32,1197
57,3.330000,-19.000000,21.330000,0.890372,62.581009,1079,34,1218
58,-4.910000,-21.000000,16.090000,0.888591,47.603054,826,34,1239
59,3.410000,-19.000000,21.410000,0.886814,63.486750,1078,36,1260
60,-4.950000,-21.000000,16.050000,0.885040,49.625661,824,36,1281
61,1.072500,-20.000000,20.572500,0.883270,61.549235,1044,37,1302
62,-4.950000,-21.000000,16.050000,0.881504,48.317998,824,37,1323
63,-1.325000,-21.000000,19.675000,0.879741,59.542538,1006,37,1344
64,-6.145000,-21.000000,14.855000,0.877981,45.384958,764,37,1365
65,4.305333,-19.000000,22.305333,0.876225,67.241503,1136,39,1386
66,-1.365000,-21.000000,19.635000,0.874473,59.216380,1004,39,1407
67,-1.325000,-21.000000,19.675000,0.872724,59.611723,1006,39,1428
68,-3.735000,-21.000000,17.265000,0.870978,52.075319,885,39,1449
69,-1.325000,-21.000000,19.675000,0.869236,58.666059,1006,39,1470
70,-1.144833,-21.000000,19.855167,0.867498,59.204039,1008,39,1491
71,-4.950000,-21.000000,16.050000,0.865763,48.640747,824,39,1512
72,-3.755000,-21.000000,17.245000,0.864031,51.973251,884,39,1533
73,5.952500,-20.000000,25.452500,0.862303,75.718809,1280,40,1554
74,-0.322500,-20.000000,19.177500,0.860579,57.664968,979,41,1575
75,1.895000,-19.000000,19.895000,0.858858,60.127291,1016,43,1596
76,-1.137500,-20.000000,18.362500,0.857140,54.401472,920,44,1617
77,-3.755000,-21.000000,17.245000,0.855426,52.627077,884,44,1638
78,2.387500,-20.000000,21.887500,0.853715,65.297674,1102,45,1659
79,1.895000,-19.000000,19.895000,0.852007,60.248577,1014,47,1680
80,-3.735000,-21.000000,17.265000,0.850303,52.661373,885,47,1701
81,8.150333,-19.000000,26.150333,0.848603,78.476532,1320,49,1722
82,-1.325000,-21.000000,19.675000,0.846905,60.494600,1006,49,1743
83,2.340333,-21.000000,23.340333,0.845212,71.374658,1190,49,1764
84,-4.950000,-21.000000,16.050000,0.843521,49.572111,824,49,1785
85,-1.285000,-21.000000,19.715000,0.841834,60.112198,1008,49,1806
86,-1.517500,-20.000000,17.982500,0.840151,55.433728,919,50,1827
87,-0.130000,-21.000000,20.870000,0.838470,64.082126,1066,50,1848
88,4.665000,-19.000000,22.665000,0.836793,68.453331,1139,52,1869
89,-4.950000,-21.000000,16.050000,0.835120,49.611219,824,52,1890
90,3.270333,-19.000000,21.270333,0.833449,64.679873,1075,54,1911
91,-2.560000,-21.000000,18.440000,0.831783,57.981992,944,54,1932
92,-6.145000,-21.000000,14.855000,0.830119,47.520998,764,54,1953
93,-6.145000,-21.000000,14.855000,0.828459,47.045301,764,54,1974
94,-6.145000,-21.000000,14.855000,0.826802,46.523195,764,54,1995
95,-4.950000,-21.000000,16.050000,0.825148,50.092247,824,54,2016
96,-0.262500,-20.000000,19.237500,0.823498,59.236042,979,55,2037
97,-1.345000,-21.000000,19.655000,0.821851,61.215902,1005,55,2058
98,1.915000,-19.000000,19.915000,0.820207,61.827867,1016,57,2079
99,-6.145000,-21.000000,14.855000,0.818567,46.489998,764,57,2100
100,-0.182500,-20.000000,19.317500,0.816930,60.092613,982,58,2121
101,-2.459833,-21.000000,18.540167,0.815296,58.038232,949,58,2142
102,-4.910000,-21.000000,16.090000,0.813665,50.408123,826,58,2163
103,-0.150000,-21.000000,20.850000,0.812038,65.782934,1065,58,2184
104,2.127500,-20.000000,21.627500,0.810414,68.194448,1104,59,2205
105,-1.365000,-21.000000,19.635000,0.808793,62.601772,1004,59,2226
106,-1.305000,-21.000000,19.695000,0.807175,62.912254,1007,59,2247
107,-6.145000,-21.000000,14.855000,0.805561,47.823218,764,59,2268
108,-6.145000,-21.000000,14.855000,0.803950,47.157498,764,59,2289
109,-3.735000,-21.000000,17.265000,0.802342,54.571957,885,59,2310
110,-6.145000,-21.000000,14.855000,0.800737,46.961808,764,59,2331
