episode,total_reward,env_reward,pos_reward,epsilon,duration,steps,scores_made,scores_against
0,-6.145000,-21.000000,14.855000,0.998000,38.160392,764,0,21
1,-2.539833,-21.000000,18.460167,0.996004,46.911068,945,0,42
2,-2.540000,-21.000000,18.460000,0.994012,46.572852,945,0,63
3,-3.675000,-21.000000,17.325000,0.992024,43.784121,888,0,84
4,-3.694833,-21.000000,17.305167,0.990040,43.942245,887,0,105
5,-1.237500,-20.000000,18.262500,0.988060,45.667226,920,1,126
6,-6.145000,-21.000000,14.855000,0.986084,37.872486,764,1,147
7,-2.520000,-21.000000,18.480000,0.984112,47.127302,946,1,168
8,-1.197500,-20.000000,18.302500,0.982143,45.923132,919,2,189
9,-4.950000,-21.000000,16.050000,0.980179,40.820334,824,2,210
10,1.032500,-20.000000,20.532500,0.978219,51.775468,1045,3,231
11,-3.735000,-21.000000,17.265000,0.976262,50.933078,885,3,252
12,-3.735000,-21.000000,17.265000,0.974310,52.506178,885,3,273
13,-1.417500,-20.000000,18.082500,0.972361,51.165093,921,4,294
14,0.992500,-20.000000,20.492500,0.970416,57.942537,1042,5,315
15,-1.364833,-21.000000,19.635167,0.968476,55.619413,1004,5,336
16,2.195333,-19.000000,20.195333,0.966539,56.524189,1016,7,357
17,-1.365000,-21.000000,19.635000,0.964606,55.824875,1004,7,378
18,-3.755000,-21.000000,17.245000,0.962676,49.466638,884,7,399
19,6.795167,-19.000000,24.795167,0.960751,70.249416,1256,9,420
20,-3.715000,-21.000000,17.285000,0.958829,49.965818,886,9,441
21,1.232500,-20.000000,20.732500,0.956912,58.067674,1042,10,462
22,9.013000,-18.000000,25.513000,0.954998,75.735213,1293,13,483
23,-1.365000,-21.000000,19.635000,0.953088,57.218022,1004,13,504
24,-1.197500,-20.000000,18.302500,0.951182,52.478572,919,14,525
25,-3.755000,-21.000000,17.245000,0.949279,49.314965,884,14,546
26,-0.302500,-20.000000,19.197500,0.947381,54.564768,979,15,567
27,1.125167,-21.000000,22.125167,0.945486,63.023277,1129,15,588
28,3.522500,-20.000000,23.022500,0.943595,64.856259,1162,16,609
29,-4.950000,-21.000000,16.050000,0.941708,46.388115,824,16,630
30,-3.755000,-21.000000,17.245000,0.939825,49.600715,884,16,651
31,-4.950000,-21.000000,16.050000,0.937945,46.466454,824,16,672
32,-0.222500,-20.000000,19.277500,0.936069,55.402266,980,17,693
33,0.952500,-20.000000,20.452500,0.934197,58.972518,1040,18,714
34,-1.325000,-21.000000,19.675000,0.932328,56.691869,1006,18,735
35,-1.325000,-21.000000,19.675000,0.930464,56.787961,1006,18,756
36,1.152500,-20.000000,20.652500,0.928603,58.817834,1040,19,777
37,-4.950000,-21.000000,16.050000,0.926746,47.015234,824,19,798
38,-2.500000,-21.000000,18.500000,0.924892,53.951381,947,19,819
39,6.092500,-20.000000,25.592500,0.923042,74.346178,1285,20,840
40,-1.304833,-21.000000,19.695167,0.921196,58.552714,1007,20,861
41,4.465333,-19.000000,22.465333,0.919354,64.098884,1136,22,882
42,3.302500,-20.000000,22.802500,0.917515,65.290945,1161,23,903
43,-1.305000,-21.000000,19.695000,0.915680,56.834495,1007,23,924
44,-1.325000,-21.000000,19.675000,0.913849,56.980328,1006,23,945
45,13.700333,-17.000000,28.700333,0.912021,82.457625,1448,27,966
46,8.502500,-20.000000,28.002500,0.910197,80.134172,1404,28,987
47,7.115000,-19.000000,25.115000,0.908377,72.365571,1260,30,1008
48,10.227500,-18.000000,26.727500,0.906560,77.443107,1353,33,1029
49,-2.520000,-21.000000,18.480000,0.904747,54.141354,946,33,1050
50,0.932500,-20.000000,20.432500,0.902937,60.631334,1043,34,1071
51,3.362500,-20.000000,22.862500,0.901131,61.283063,1162,35,1092
52,-3.755000,-21.000000,17.245000,0.899329,48.233905,884,35,1113
53,5.640000,-19.000000,23.640000,0.897531,65.546772,1199,37,1134
54,5.852500,-20.000000,25.352500,0.895735,69.929411,1284,38,1155
55,-1.497500,-20.000000,18.002500,0.893944,48.548138,920,39,1176
56,0.932500,-20.000000,20.432500,0.892156,54.918912,1039,40,1197
57,9.995000,-17.000000,24.995000,0.890372,67.075838,1267,44,1218
58,2.260000,-21.000000,23.260000,0.888591,63.181791,1186,44,1239
59,10.447833,-18.000000,26.947833,0.886814,72.306620,1351,47,1260
60,3.602500,-20.000000,23.102500,0.885040,62.360573,1162,48,1281
61,2.467667,-20.000000,21.967667,0.883270,59.442352,1104,49,1302
62,-0.169833,-21.000000,20.830167,0.881504,57.188760,1064,49,1323
63,-0.130000,-21.000000,20.870000,0.879741,57.497344,1066,49,1344
64,-2.540000,-21.000000,18.460000,0.877981,51.004370,945,49,1365
65,-0.262500,-20.000000,19.237500,0.876225,53.007188,984,50,1386
66,-3.755000,-21.000000,17.245000,0.874473,49.286040,884,50,1407
67,6.895000,-19.000000,24.895000,0.872724,70.896907,1257,52,1428
68,-2.480000,-21.000000,18.520000,0.870978,52.871368,948,52,1449
69,-0.844833,-21.000000,20.155167,0.869236,57.147591,1010,52,1470
70,-2.540000,-21.000000,18.460000,0.867498,51.353861,945,52,1491
71,-3.715000,-21.000000,17.285000,0.865763,48.293031,886,52,1512
72,10.075333,-17.000000,25.075333,0.864031,68.944279,1268,56,1533
73,11.342500,-18.000000,27.842500,0.862303,76.655966,1411,59,1554
74,-0.150000,-21.000000,20.850000,0.860579,57.856201,1065,59,1575
75,2.300500,-21.000000,23.300500,0.858858,64.596689,1188,59,1596
76,-2.560000,-21.000000,18.440000,0.857140,51.423054,944,59,1617
