episode,total_reward,env_reward,pos_reward,epsilon,duration,steps,scores_made,scores_against
0,10.351250,-20.000000,27.351250,0.998000,54.922991,1103,1,21
1,3.813000,-21.000000,24.813000,0.996004,51.403144,1007,1,42
2,13.605500,-19.000000,26.605500,0.994012,60.681333,1076,3,63
3,2.070250,-21.000000,23.070250,0.992024,50.900920,945,3,84
4,10.326250,-20.000000,27.326250,0.990040,56.202502,1104,4,105
5,-2.432500,-21.000000,18.567500,0.988060,39.151821,764,4,126
6,3.612500,-21.000000,24.612500,0.986084,51.435062,1007,4,147
7,5.130000,-21.000000,26.130000,0.984112,54.474968,1068,4,168
8,0.652500,-21.000000,21.652500,0.982143,45.617183,888,4,189
9,8.908750,-20.000000,25.908750,0.980179,53.054158,1043,5,210
10,8.634000,-20.000000,25.634000,0.978219,53.168433,1042,6,231
11,24.596750,-18.000000,33.596750,0.976262,75.570896,1356,9,252
12,0.602750,-21.000000,21.602750,0.974310,49.810581,886,9,273
13,-0.940000,-21.000000,20.060000,0.972361,46.579250,824,9,294
14,19.869250,-18.000000,28.869250,0.970416,65.910908,1174,12,315
15,-0.940000,-21.000000,20.060000,0.968476,46.404316,824,12,336
16,19.550000,-19.000000,32.550000,0.966539,74.252955,1323,14,357
17,5.055250,-21.000000,26.055250,0.964606,59.853798,1065,14,378
18,2.095000,-21.000000,23.095000,0.962676,53.981894,946,14,399
19,-0.940000,-21.000000,20.060000,0.960751,46.797902,824,14,420
20,0.652500,-21.000000,21.652500,0.958829,51.106040,888,14,441
21,2.070000,-21.000000,23.070000,0.956912,53.920135,945,14,462
22,16.021250,-20.000000,33.021250,0.954998,77.621358,1345,15,483
23,-2.432500,-21.000000,18.567500,0.953088,44.173147,764,15,504
24,5.598750,-20.000000,22.598750,0.951182,53.760083,922,16,525
25,7.266250,-20.000000,24.266250,0.949279,55.470538,981,17,546
26,8.433750,-20.000000,25.433750,0.947381,58.811537,1039,18,567
27,5.305500,-21.000000,26.305500,0.945486,60.607196,1072,18,588
28,13.461250,-20.000000,30.461250,0.943595,69.040835,1222,19,609
29,19.375000,-19.000000,32.375000,0.941708,74.325571,1315,21,630
30,6.997500,-21.000000,27.997500,0.939825,64.044883,1126,21,651
31,14.729250,-20.000000,31.729250,0.937945,73.122562,1282,22,672
32,0.552500,-21.000000,21.552500,0.936069,50.442888,884,22,693
33,-2.432500,-21.000000,18.567500,0.934197,43.885083,764,22,714
34,2.195500,-21.000000,23.195500,0.932328,54.291286,950,22,735
35,19.968750,-18.000000,28.968750,0.930464,66.555000,1171,25,756
36,11.862500,-19.000000,24.862500,0.928603,57.586995,1017,27,777
37,-2.432500,-21.000000,18.567500,0.926746,43.339741,764,27,798
38,18.526750,-18.000000,27.526750,0.924892,64.254062,1113,30,819
39,7.141250,-20.000000,24.141250,0.923042,56.987461,981,31,840
40,0.552500,-21.000000,21.552500,0.921196,50.058902,884,31,861
41,10.526250,-20.000000,27.526250,0.919354,62.623062,1104,32,882
42,2.095000,-21.000000,23.095000,0.917515,53.753095,946,32,903
43,-2.432500,-21.000000,18.567500,0.915680,43.539338,764,32,924
44,5.280000,-21.000000,26.280000,0.913849,61.101648,1074,32,945
45,0.552500,-21.000000,21.552500,0.912021,50.279276,884,32,966
46,5.230000,-21.000000,26.230000,0.910197,61.126722,1072,32,987
47,0.552500,-21.000000,21.552500,0.908377,51.285988,884,32,1008
48,12.087500,-19.000000,25.087500,0.906560,58.448929,1018,34,1029
49,26.332500,-17.000000,31.332500,0.904747,72.909696,1266,38,1050
50,8.165000,-21.000000,29.165000,0.902937,68.728615,1190,38,1071
51,3.587500,-21.000000,24.587500,0.901131,58.014563,1006,38,1092
52,3.612750,-21.000000,24.612750,0.899329,58.186797,1007,38,1113
53,12.667500,-21.000000,33.667500,0.897531,79.814811,1371,38,1134
54,10.251250,-20.000000,27.251250,0.895735,64.496091,1101,39,1155
55,2.170000,-21.000000,23.170000,0.893944,55.550193,946,39,1176
56,0.552500,-21.000000,21.552500,0.892156,51.202629,884,39,1197
57,13.461500,-20.000000,30.461500,0.890372,71.004138,1222,40,1218
58,11.987500,-19.000000,24.987500,0.888591,58.966604,1018,42,1239
59,8.833750,-20.000000,25.833750,0.886814,60.429883,1040,43,1260
60,5.030000,-21.000000,26.030000,0.885040,61.941846,1064,43,1281
61,23.852750,-19.000000,36.852750,0.883270,87.321031,1497,45,1302
62,13.036250,-20.000000,30.036250,0.881504,72.070621,1224,46,1323
63,-0.915000,-21.000000,20.085000,0.879741,48.219449,825,46,1344
64,3.537500,-21.000000,24.537500,0.877981,58.804876,1004,46,1365
65,0.602500,-21.000000,21.602500,0.876225,51.929304,886,46,1386
66,2.095000,-21.000000,23.095000,0.874473,55.779304,946,46,1407
67,3.612750,-21.000000,24.612750,0.872724,59.085580,1007,46,1428
68,5.180250,-21.000000,26.180250,0.870978,62.747422,1070,46,1449
69,19.800250,-19.000000,32.800250,0.869236,78.819835,1316,48,1470
70,6.947750,-21.000000,27.947750,0.867498,66.546097,1129,48,1491
71,11.793750,-20.000000,28.793750,0.865763,68.473462,1161,49,1512
72,3.537500,-21.000000,24.537500,0.864031,59.348519,1004,49,1533
73,19.306250,-20.000000,36.306250,0.862303,86.421244,1466,50,1554
74,15.073000,-19.000000,28.073000,0.860579,67.346507,1136,52,1575
75,7.266250,-20.000000,24.266250,0.858858,58.040670,982,53,1596
76,16.271250,-20.000000,33.271250,0.857140,79.608194,1342,54,1617
77,21.486750,-18.000000,30.486750,0.855426,74.302163,1233,57,1638
78,13.630000,-19.000000,26.630000,0.853715,64.221653,1076,59,1659
79,22.903750,-18.000000,31.903750,0.852007,77.151117,1293,62,1680
80,28.799500,-18.000000,37.799500,0.850303,91.676800,1533,65,1701
81,11.601000,-21.000000,32.601000,0.848603,78.520096,1308,65,1722
82,16.490500,-19.000000,29.490500,0.846905,73.110356,1195,67,1743
83,2.120250,-21.000000,23.120250,0.845212,56.976910,947,67,1764
84,11.719000,-20.000000,28.719000,0.843521,69.774903,1163,68,1785
85,22.679250,-18.000000,31.679250,0.841834,77.438727,1289,71,1806
86,20.792750,-19.000000,33.792750,0.840151,82.633125,1375,73,1827
87,2.045000,-21.000000,23.045000,0.838470,56.943858,944,73,1848
88,3.587750,-21.000000,24.587750,0.836793,61.068928,1006,73,1869
89,8.065000,-21.000000,29.065000,0.835120,71.810006,1186,73,1890
90,16.290250,-19.000000,29.290250,0.833449,72.658925,1195,75,1911
91,30.735500,-17.000000,35.735500,0.831783,87.569251,1444,79,1932
92,13.161250,-20.000000,30.161250,0.830119,74.289436,1221,80,1953
93,21.662250,-18.000000,30.662250,0.828459,75.756150,1236,83,1974
94,5.823750,-20.000000,22.823750,0.826802,59.007406,919,84,1995
95,10.151250,-20.000000,27.151250,0.825148,67.201406,1103,85,2016
96,21.142500,-19.000000,34.142500,0.823498,84.632269,1378,87,2037
97,21.193000,-19.000000,34.193000,0.821851,85.284788,1381,89,2058
98,19.968750,-18.000000,28.968750,0.820207,72.218978,1171,92,2079
99,11.668750,-20.000000,28.668750,0.818567,71.805297,1161,93,2100
100,11.494000,-20.000000,28.494000,0.816930,71.464066,1160,94,2121
101,17.464000,-20.000000,34.464000,0.815296,86.457752,1403,95,2142
102,30.910500,-17.000000,35.910500,0.813665,89.262984,1447,99,2163
103,12.019000,-20.000000,29.019000,0.812038,71.893566,1165,100,2184
104,30.191250,-18.000000,39.191250,0.810414,98.369049,1592,103,2205
105,3.637500,-21.000000,24.637500,0.808793,62.557709,1008,103,2226
106,19.725500,-19.000000,32.725500,0.807175,82.943553,1321,105,2247
107,14.579000,-20.000000,31.579000,0.805561,79.535938,1285,106,2268
108,11.793750,-20.000000,28.793750,0.803950,72.116830,1162,107,2289
109,0.602500,-21.000000,21.602500,0.802342,54.688910,886,107,2310
110,16.096250,-20.000000,33.096250,0.800737,83.091403,1344,108,2331
111,11.643750,-20.000000,28.643750,0.799136,71.211740,1159,109,2352
112,3.587500,-21.000000,24.587500,0.797538,62.023384,1006,109,2373
113,22.903750,-18.000000,31.903750,0.795943,80.107306,1295,112,2394
114,7.091250,-20.000000,24.091250,0.794351,60.829530,981,113,2415
115,29.074500,-18.000000,38.074500,0.792762,94.996706,1533,116,2436
116,11.493750,-20.000000,28.493750,0.791176,72.212465,1163,117,2457
117,16.546500,-20.000000,33.546500,0.789594,83.320955,1346,118,2478
118,25.127250,-20.000000,42.127250,0.788015,106.716164,1702,119,2499
119,6.647500,-21.000000,27.647500,0.786439,70.060881,1129,119,2520
120,0.577500,-21.000000,21.577500,0.784866,55.778112,885,119,2541
121,25.621000,-19.000000,38.621000,0.783296,96.252268,1558,121,2562
122,11.643750,-20.000000,28.643750,0.781730,71.417964,1161,122,2583
123,5.155000,-21.000000,26.155000,0.780166,66.346825,1069,122,2604
124,0.552500,-21.000000,21.552500,0.778606,55.022431,884,122,2625
125,27.481750,-18.000000,36.481750,0.777049,90.993844,1472,125,2646
126,32.454000,-17.000000,37.454000,0.775495,93.327262,1507,129,2667
127,22.585000,-19.000000,35.585000,0.773944,90.080422,1444,131,2688
128,24.152500,-19.000000,37.152500,0.772396,93.741159,1498,133,2709
129,10.176500,-20.000000,27.176500,0.770851,69.881440,1101,134,2730
130,34.213750,-16.000000,35.213750,0.769309,88.688299,1425,139,2751
131,14.060250,-21.000000,35.060250,0.767771,88.965441,1427,139,2772
132,29.174250,-18.000000,38.174250,0.766235,96.091359,1537,142,2793
133,10.126250,-20.000000,27.126250,0.764703,68.541072,1101,143,2814
134,21.193000,-19.000000,34.193000,0.763173,85.651961,1380,145,2835
135,19.375250,-19.000000,32.375250,0.761647,81.672724,1318,147,2856
136,11.919000,-20.000000,28.919000,0.760123,72.152948,1160,148,2877
137,9.976250,-20.000000,26.976250,0.758603,68.507294,1100,149,2898
138,35.663750,-17.000000,40.663750,0.757086,102.010613,1632,153,2919
139,-0.940000,-21.000000,20.060000,0.755572,51.553324,824,153,2940
140,3.587500,-21.000000,24.587500,0.754061,63.151529,1006,153,2961
141,8.190000,-21.000000,29.190000,0.752553,74.567315,1185,153,2982
142,17.889000,-20.000000,34.889000,0.751047,87.804634,1407,154,3003
143,9.632500,-21.000000,30.632500,0.749545,77.931491,1249,154,3024
144,19.750750,-19.000000,32.750750,0.748046,82.117185,1318,156,3045
145,20.799000,-20.000000,37.799000,0.746550,95.353346,1526,157,3066
146,36.561750,-18.000000,45.561750,0.745057,114.107863,1835,160,3087
147,10.076500,-20.000000,27.076500,0.743567,69.165474,1103,161,3108
148,33.895000,-17.000000,38.895000,0.742080,98.179654,1572,165,3129
149,5.105250,-21.000000,26.105250,0.740596,66.874946,1067,165,3150
150,34.869500,-18.000000,43.869500,0.739115,111.012633,1772,168,3171
151,22.385000,-19.000000,35.385000,0.737636,90.883957,1438,170,3192
152,11.568750,-20.000000,28.568750,0.736161,72.612183,1163,171,3213
153,32.083750,-18.000000,41.083750,0.734689,103.163256,1652,174,3234
154,15.047500,-19.000000,28.047500,0.733219,71.081496,1136,176,3255
155,8.040000,-21.000000,29.040000,0.731753,73.830158,1185,176,3276
156,3.687500,-21.000000,24.687500,0.730289,64.117248,1010,176,3297
157,25.939000,-18.000000,34.939000,0.728829,88.744120,1414,179,3318
158,22.904000,-18.000000,31.904000,0.727371,80.985368,1293,182,3339
159,17.738750,-20.000000,34.738750,0.725916,88.300734,1404,183,3360
160,25.738750,-18.000000,34.738750,0.724465,88.842265,1410,186,3381
161,19.181250,-20.000000,36.181250,0.723016,92.294378,1467,187,3402
162,26.257750,-17.000000,31.257750,0.721570,80.924503,1266,191,3423
163,9.632500,-21.000000,30.632500,0.720126,78.463747,1249,191,3444
164,19.994250,-18.000000,28.994250,0.718686,73.591451,1171,194,3465
165,11.693750,-20.000000,28.693750,0.717249,73.221823,1162,195,3486
166,23.884000,-20.000000,40.884000,0.715814,103.066675,1646,196,3507
167,14.678750,-20.000000,31.678750,0.714383,80.791607,1281,197,3528
168,14.953750,-20.000000,31.953750,0.712954,80.741294,1285,198,3549
169,19.625000,-19.000000,32.625000,0.711528,82.554753,1316,200,3570
170,22.979250,-18.000000,31.979250,0.710105,81.662433,1295,203,3591
171,3.587500,-21.000000,24.587500,0.708685,63.115626,1006,203,3612
172,9.976250,-20.000000,26.976250,0.707267,69.712747,1100,204,3633
173,32.378000,-17.000000,37.378000,0.705853,96.228115,1511,208,3654
174,19.381250,-20.000000,36.381250,0.704441,93.597435,1465,209,3675
175,22.091500,-20.000000,39.091500,0.703032,100.161035,1583,210,3696
176,24.471250,-18.000000,33.471250,0.701626,85.956738,1357,213,3717
177,28.931000,-19.000000,41.931000,0.700223,106.208028,1683,215,3738
178,8.165250,-21.000000,29.165250,0.698823,75.666193,1190,215,3759
179,19.106500,-20.000000,36.106500,0.697425,92.418814,1462,216,3780
180,54.229500,-14.000000,47.229500,0.696030,121.615794,1915,223,3801
181,11.250000,-21.000000,32.250000,0.694638,83.441646,1309,223,3822
182,15.652750,-21.000000,36.652750,0.693249,95.120270,1491,223,3843
183,25.895750,-19.000000,38.895750,0.691862,100.959336,1563,225,3864
184,5.105250,-21.000000,26.105250,0.690478,67.839851,1067,225,3885
185,52.544500,-15.000000,49.544500,0.689098,126.897526,1998,231,3906
186,19.675500,-19.000000,32.675500,0.687719,84.355112,1320,233,3927
187,30.591750,-18.000000,39.591750,0.686344,101.672713,1595,236,3948
188,8.859000,-20.000000,25.859000,0.684971,66.442784,1042,237,3969
189,32.159750,-18.000000,41.159750,0.683601,106.113440,1657,240,3990
190,14.753750,-20.000000,31.753750,0.682234,82.172756,1286,241,4011
191,13.086250,-20.000000,30.086250,0.680870,77.896159,1223,242,4032
192,43.076250,-17.000000,48.076250,0.679508,123.584029,1932,246,4053
193,20.967500,-19.000000,33.967500,0.678149,89.166158,1383,248,4074
194,33.820500,-17.000000,38.820500,0.676793,100.339379,1570,252,4095
195,20.873750,-20.000000,37.873750,0.675439,97.709944,1525,253,4116
196,13.036250,-20.000000,30.036250,0.674088,78.497374,1223,254,4137
197,6.572500,-21.000000,27.572500,0.672740,71.744156,1126,254,4158
198,37.081250,-17.000000,42.081250,0.671394,107.864089,1693,258,4179
199,13.436250,-20.000000,30.436250,0.670052,78.292694,1223,259,4200
200,54.478750,-14.000000,47.478750,0.668712,123.123651,1915,266,4221
201,24.621750,-18.000000,33.621750,0.667374,86.580615,1351,269,4242
202,14.035000,-21.000000,35.035000,0.666039,92.559283,1426,269,4263
203,38.667000,-16.000000,39.667000,0.664707,103.033330,1609,274,4284
204,25.351250,-20.000000,42.351250,0.663378,109.117958,1706,275,4305
205,11.500000,-21.000000,32.500000,0.662051,84.136167,1312,275,4326
206,14.904000,-20.000000,31.904000,0.660727,82.477450,1281,276,4347
207,41.901750,-16.000000,42.901750,0.659406,110.853779,1725,281,4368
208,3.587500,-21.000000,24.587500,0.658087,64.402827,1006,281,4389
209,14.929000,-20.000000,31.929000,0.656771,82.484869,1288,282,4410
210,24.052750,-19.000000,37.052750,0.655457,96.066594,1501,284,4431
211,58.445500,-16.000000,59.445500,0.654146,153.640415,2392,289,4452
212,20.430500,-21.000000,41.430500,0.652838,107.755836,1673,289,4473
213,33.670000,-17.000000,38.670000,0.651532,101.247205,1569,293,4494
214,27.607250,-18.000000,36.607250,0.650229,95.042478,1473,296,4515
215,15.652750,-21.000000,36.652750,0.648929,96.136602,1491,296,4536
216,23.833750,-20.000000,40.833750,0.647631,105.901664,1644,297,4557
217,15.777750,-21.000000,36.777750,0.646335,96.463102,1496,297,4578
218,17.889250,-20.000000,34.889250,0.645043,90.387954,1405,298,4599
219,31.716000,-19.000000,44.716000,0.643753,115.484954,1800,300,4620
220,43.319750,-16.000000,44.319750,0.642465,116.070086,1782,305,4641
221,32.278000,-17.000000,37.278000,0.641180,97.994330,1510,309,4662
222,59.057250,-14.000000,52.057250,0.639898,135.313236,2097,316,4683
223,36.762000,-18.000000,45.762000,0.638618,118.714025,1838,319,4704
224,23.709000,-20.000000,40.709000,0.637341,106.235065,1646,320,4725
225,18.208250,-19.000000,31.208250,0.636066,81.434864,1258,322,4746
226,28.880750,-19.000000,41.880750,0.634794,109.215891,1685,324,4767
227,20.598750,-20.000000,37.598750,0.633524,98.846200,1525,325,4788
228,16.296250,-20.000000,33.296250,0.632257,87.721750,1346,326,4809
229,30.398750,-19.000000,43.398750,0.630993,114.035977,1742,328,4830
230,19.181500,-20.000000,36.181500,0.629731,94.804648,1464,329,4851
231,32.334500,-18.000000,41.334500,0.628471,107.747814,1661,332,4872
232,40.309750,-16.000000,41.309750,0.627215,108.464317,1663,337,4893
233,54.011000,-15.000000,51.011000,0.625960,133.811119,2060,343,4914
234,18.662500,-21.000000,39.662500,0.624708,105.176313,1612,343,4935
235,25.426250,-20.000000,42.426250,0.623459,110.756298,1703,344,4956
236,36.168000,-19.000000,49.168000,0.622212,129.230107,1982,346,4977
237,36.755500,-17.000000,41.755500,0.620967,110.841416,1688,350,4998
238,20.723750,-20.000000,37.723750,0.619726,99.278705,1528,351,5019
239,44.661500,-16.000000,45.661500,0.618486,119.931032,1849,356,5040
240,36.705000,-17.000000,41.705000,0.617249,110.132341,1686,360,5061
241,30.541750,-18.000000,39.541750,0.616015,104.051466,1596,363,5082
242,57.246250,-15.000000,54.246250,0.614783,142.360822,2186,369,5103
243,29.754000,-20.000000,46.754000,0.613553,122.661512,1885,370,5124
244,36.761750,-18.000000,45.761750,0.612326,119.958740,1839,373,5145
245,21.997500,-21.000000,42.997500,0.611101,114.674514,1737,373,5166
246,29.972500,-19.000000,42.972500,0.609879,112.866799,1736,375,5187
247,44.912000,-16.000000,45.912000,0.608659,121.061153,1851,380,5208
248,12.642750,-21.000000,33.642750,0.607442,89.625985,1370,380,5229
249,17.914000,-20.000000,34.914000,0.606227,92.157386,1408,381,5250
250,70.905750,-15.000000,67.905750,0.605015,178.507485,2728,387,5271
251,24.446250,-18.000000,33.446250,0.603805,88.728503,1356,390,5292
252,36.830500,-17.000000,41.830500,0.602597,110.806320,1689,394,5313
253,23.833750,-20.000000,40.833750,0.601392,109.368878,1651,395,5334
254,44.693750,-17.000000,49.693750,0.600189,131.372734,1995,399,5355
255,22.041250,-20.000000,39.041250,0.598989,103.806222,1585,400,5376
256,25.770750,-19.000000,38.770750,0.597791,102.644474,1562,402,5397
257,12.617500,-21.000000,33.617500,0.596595,89.957525,1369,402,5418
258,42.171000,-15.000000,39.171000,0.595402,103.123840,1577,408,5439
259,31.591000,-19.000000,44.591000,0.594211,118.111787,1802,410,5460
260,35.564000,-17.000000,40.564000,0.593023,105.987045,1628,414,5481
261,31.246500,-20.000000,48.246500,0.591837,128.119098,1948,415,5502
262,11.843750,-20.000000,28.843750,0.590653,75.672780,1164,416,5523
263,31.890750,-19.000000,44.890750,0.589472,117.956113,1802,418,5544
264,34.675500,-19.000000,47.675500,0.588293,126.274512,1925,420,5565
265,47.821500,-16.000000,48.821500,0.587116,128.659008,1969,425,5586
266,22.536250,-19.000000,35.536250,0.585942,93.895754,1436,427,5607
267,53.641500,-16.000000,54.641500,0.584770,144.423906,2207,432,5628
268,31.371750,-20.000000,48.371750,0.583600,129.734763,1946,433,5649
269,29.224250,-18.000000,38.224250,0.582433,103.202416,1538,436,5670
270,36.711750,-18.000000,45.711750,0.581268,120.366799,1836,439,5691
271,57.246000,-15.000000,54.246000,0.580106,143.886343,2184,445,5712
272,22.366250,-20.000000,39.366250,0.578946,103.806223,1584,446,5733
273,56.776750,-16.000000,57.776750,0.577788,158.146126,2328,451,5754
274,28.999500,-18.000000,37.999500,0.576632,105.420305,1532,454,5775
275,38.523000,-17.000000,43.523000,0.575479,115.214592,1751,458,5796
276,63.241750,-15.000000,60.241750,0.574328,160.647758,2427,464,5817
277,46.404250,-16.000000,47.404250,0.573179,125.703934,1909,469,5838
278,69.185750,-15.000000,66.185750,0.572033,175.375086,2673,475,5859
279,51.561250,-18.000000,60.561250,0.570889,160.404424,2447,478,5880
280,39.765000,-17.000000,44.765000,0.569747,119.480111,1811,482,5901
281,32.034000,-18.000000,41.034000,0.568608,108.832480,1651,485,5922
282,50.512750,-17.000000,55.512750,0.567470,147.978305,2235,489,5943
283,49.808000,-15.000000,46.808000,0.566335,124.032789,1886,495,5964
284,39.722250,-18.000000,48.722250,0.565203,128.392697,1959,498,5985
285,31.440250,-19.000000,44.440250,0.564072,119.401583,1802,500,6006
286,50.782000,-16.000000,51.782000,0.562944,137.570559,2085,505,6027
287,41.064750,-18.000000,50.064750,0.561818,132.706650,2013,508,6048
288,33.527500,-18.000000,42.527500,0.560695,113.179532,1715,511,6069
289,50.832500,-16.000000,51.832500,0.559573,137.543702,2086,516,6090
290,53.692500,-16.000000,54.692500,0.558454,145.425506,2205,521,6111
291,34.994000,-18.000000,43.994000,0.557337,117.208697,1779,524,6132
292,63.634750,-14.000000,56.634750,0.556223,151.232023,2279,531,6153
293,47.697250,-16.000000,48.697250,0.555110,130.316584,1969,536,6174
294,41.189250,-18.000000,50.189250,0.554000,134.294752,2020,539,6195
295,36.267750,-19.000000,49.267750,0.552892,131.052441,1984,541,6216
296,67.819250,-15.000000,64.819250,0.551786,173.839410,2606,547,6237
297,58.688000,-15.000000,55.688000,0.550683,149.531432,2242,553,6258
298,48.727000,-18.000000,57.727000,0.549581,153.979365,2322,556,6279
299,25.226250,-20.000000,42.226250,0.548482,113.591028,1709,557,6300
300,27.876000,-17.000000,32.876000,0.547385,88.305087,1327,561,6321
301,36.806000,-17.000000,41.806000,0.546290,112.238189,1693,565,6342
302,74.451750,-13.000000,63.451750,0.545198,169.835315,2555,573,6363
303,61.673000,-15.000000,58.673000,0.544107,158.040005,2363,579,6384
304,79.398000,-12.000000,64.398000,0.543019,172.830051,2593,588,6405
305,60.381250,-15.000000,57.381250,0.541933,154.220787,2312,594,6426
306,28.555250,-19.000000,41.555250,0.540849,111.632795,1681,596,6447
307,19.256500,-20.000000,36.256500,0.539767,97.714084,1463,597,6468
308,36.731000,-17.000000,41.731000,0.538688,112.658399,1688,601,6489
309,42.850250,-17.000000,47.850250,0.537611,129.269795,1930,605,6510
310,78.710250,-14.000000,71.710250,0.536535,193.402438,2884,612,6531
311,61.498250,-15.000000,58.498250,0.535462,158.829366,2366,618,6552
312,45.516250,-18.000000,54.516250,0.534391,146.876916,2193,621,6573
313,33.558250,-19.000000,46.558250,0.533323,125.272908,1869,623,6594
314,30.223000,-19.000000,43.223000,0.532256,116.521487,1744,625,6615
315,24.027500,-19.000000,37.027500,0.531191,100.510803,1501,627,6636
316,59.955500,-15.000000,56.955500,0.530129,154.512228,2301,633,6657
317,29.579500,-20.000000,46.579500,0.529069,125.394533,1886,634,6678
318,52.693250,-15.000000,49.693250,0.528011,133.587106,2001,640,6699
